,reaction_type,sampleID,starting_quantity,cpD1,cpD2
136,all_products,236_B_1690,NaN,39.15,36.67
137,all_products,245_B_1798,NaN,40,40
138,all_products,250_B_1858,NaN,40,1
139,test1,19_C_127,NaN,32.37,28.65
140,test1,35_C_223,NaN,32.78,29.07
141,test1,70_C_427,NaN,32.35,28.47
142,test1,242_C_1763,NaN,32.96,29.3
143,test1,166_C_967,NaN,33.71,30.21
144,test1,201_C_1271,NaN,35.47,32.5
145,test1,209_C_1367,NaN,32.74,29.04
146,test1,214_C_1427,NaN,33.82,30.4
147,test1,236_C_1691,NaN,34.65,31.55
148,test1,245_C_1799,NaN,35.49,32.66
149,test1,188_A_1197,NaN,33.47,29.98
150,test1,250_C_1859,NaN,36.3,33.63
151,all_products,19_C_127,NaN,38.25,35.87
152,all_products,35_C_223,NaN,39.07,36.48
153,all_products,70_C_427,NaN,39,36.63
154,all_products,242_C_1763,NaN,38.55,36.2
155,all_products,166_C_967,NaN,40,37.72
156,all_products,201_C_1271,NaN,39.72,37.38
157,all_products,209_C_1367,NaN,38.73,36.2
158,all_products,214_C_1427,NaN,40,39.82
159,all_products,236_C_1691,NaN,40,40
160,all_products,245_C_1799,NaN,40,40
161,all_products,188_A_1197,NaN,40,37.82
162,all_products,250_C_1859,NaN,40,1
163,test1,19_D_128,NaN,34.86,31.83
164,test1,35_D_224,NaN,33.76,30.46
165,test1,70_D_428,NaN,37.23,34.82
166,test1,242_D_1764,NaN,36.54,34.02
167,test1,166_D_968,NaN,34.14,30.82
168,test1,201_D_1272,NaN,33.71,30.36
169,test1,209_D_1368,NaN,35.1,32.21
170,test1,214_D_1428,NaN,35.79,33.13
171,test1,236_D_1692,NaN,35.86,33.24
172,test1,245_D_1800,NaN,37.22,35.18
173,test1,188_B_1198,NaN,35.39,32.53
174,test1,250_D_1860,NaN,38.24,36.44
175,all_products,19_D_128,NaN,40,40
176,all_products,35_D_224,NaN,40,38.39
177,all_products,70_D_428,NaN,40,1.09
178,all_products,242_D_1764,NaN,40,1
179,all_products,166_D_968,NaN,40,38.86
180,all_products,201_D_1272,NaN,40,39.15
181,all_products,209_D_1368,NaN,40,38.61
182,all_products,214_D_1428,NaN,40,40
183,all_products,236_D_1692,NaN,40,1
184,all_products,245_D_1800,NaN,40,1
185,all_products,188_B_1198,NaN,40,1
186,all_products,250_D_1860,NaN,40,1.75
187,test1,NTC,NaN,40,1
188,test1,NTC,NaN,40,1
189,test1,NTC,NaN,40,1
190,all_products,NTC,NaN,40,6.23
191,all_products,NTC,NaN,40,1.09
192,all_products,NTC,NaN,40,1
193,all_products,NTC,NaN,40,1
194,all_products,NTC,NaN,40,1
195,all_products,NTC,NaN,40,1
