"","reaction_type","sampleID","starting_quantity","Cycle_number","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"V12","test1","221_A_1509","NaN","A11","3609.234366","3586.585419","3586.544776","3579.199504","3576.071583","3575.755911","3569.769121","3573.694307","3565.86932","3566.740978","3564.643131","3558.27214","3560.226604","3562.136667","3562.523627","3562.571856","3556.916962","3557.163133","3557.365894","3557.873042","3561.644664","3559.042658","3555.679774","3560.319064","3559.975401","3564.694454","3580.347785","3591.131016","3616.891071","3658.201379","3720.394021","3796.299013","3877.881851","3964.172602","4042.673443","4123.156668","4198.400414","4264.801794","4334.990285","4398.10718"
"V13","test1","248_A_1833","NaN","A12","3663.132904","3630.770836","3624.984839","3619.857632","3614.766655","3621.092609","3610.482958","3613.416366","3613.738018","3608.471443","3610.201719","3610.270762","3609.268946","3610.918274","3600.76079","3605.681188","3597.662355","3602.830439","3597.082503","3601.209272","3597.775997","3605.990428","3596.194116","3601.250981","3602.97627","3604.841328","3605.8019","3608.752253","3606.546095","3614.161161","3624.861413","3651.313306","3689.471286","3744.648997","3804.460834","3881.067643","3951.406423","4026.035001","4096.726918","4169.726191"
"V14","test1","gblock+IRE_plus18IRE","100","A16","3605.08926","3575.640088","3569.480212","3561.394818","3563.973897","3560.548488","3560.898781","3561.743129","3570.980901","3576.582268","3603.985812","3646.936112","3707.363768","3795.445424","3900.315558","4005.309714","4116.615989","4218.195671","4306.641713","4399.395255","4476.24638","4562.129025","4625.878843","4690.506261","4743.516742","4790.946853","4839.028647","4878.480981","4909.904827","4937.802944","4960.585326","4979.874474","5005.656745","5018.79316","5035.497838","5052.293806","5059.833684","5063.726913","5074.336242","5083.397535"
"V15","test1","gblock+IRE_plus18IRE","100","A17","3538.695429","3512.574148","3507.039304","3502.625778","3502.683804","3503.41946","3503.738223","3503.724922","3507.479593","3522.313782","3539.657164","3575.252119","3635.591324","3716.182912","3806.593865","3901.908794","4000.363418","4097.966878","4188.075824","4264.361828","4338.298974","4412.535228","4474.001696","4533.194576","4584.016186","4628.587747","4673.001715","4705.687796","4734.850731","4765.834516","4792.555206","4809.087246","4833.254368","4841.906952","4859.208194","4867.113178","4884.049077","4899.594338","4903.917263","4913.998995"
"V16","test1","gblock+IRE_plus18IRE","100","A18","3529.885246","3499.879339","3493.270884","3491.079093","3490.258475","3489.504053","3490.023986","3492.395014","3497.358162","3508.621388","3531.83345","3558.600563","3622.319089","3702.211277","3799.500539","3896.086335","3995.156279","4088.920455","4175.340975","4259.651143","4336.438858","4403.705589","4469.195803","4528.215808","4582.272561","4621.718597","4666.868848","4700.705202","4730.694218","4762.079407","4780.556065","4803.194573","4825.073601","4842.575923","4851.774756","4866.937634","4882.724216","4888.282593","4901.180247","4913.423032"
"V17","all_products","gblock+IRE_plus18IRE","100","A19","3574.416578","3556.93336","3547.412415","3546.410198","3542.379488","3541.67315","3539.81215","3539.813764","3541.062078","3555.545781","3569.686238","3590.221989","3631.430452","3692.60385","3769.204297","3857.514105","3950.460649","4050.819266","4136.574745","4223.96394","4303.280449","4391.189011","4455.188818","4519.888882","4587.203492","4636.770831","4682.308666","4726.155375","4765.120031","4803.60345","4836.398091","4863.730999","4892.628928","4918.670455","4936.40286","4950.536886","4970.013533","4987.275201","5004.250706","5012.375084"
"V18","all_products","gblock+IRE_plus18IRE","100","A20","3471.0459","3448.964651","3443.227697","3440.419618","3440.979527","3439.493675","3446.070813","3443.290989","3442.732662","3452.142239","3464.704983","3486.26121","3524.025774","3585.337459","3656.793728","3740.249847","3829.266333","3915.529367","3993.937358","4079.883587","4153.004924","4227.683824","4291.554765","4349.18532","4405.358661","4453.975306","4504.734354","4547.911115","4581.084365","4618.529212","4650.539631","4673.921767","4695.737245","4725.511953","4733.065155","4756.177572","4772.128594","4785.988426","4799.122637","4816.432563"
"V19","all_products","gblock+IRE_plus18IRE","100","A21","3612.723398","3591.509214","3594.852898","3591.779557","3589.781968","3590.575141","3592.131931","3590.746264","3599.668618","3611.189308","3626.956551","3654.739229","3700.877013","3772.749241","3862.193638","3961.975538","4072.811253","4181.511547","4283.75915","4388.289143","4468.426671","4572.268409","4653.516177","4726.836487","4797.879949","4857.518975","4921.390209","4970.401491","5014.93109","5057.605962","5095.811831","5125.489848","5160.017038","5185.565603","5209.667501","5233.458786","5249.347365","5269.095557","5286.24916","5302.760375"
"V20","all_products","gblock_minusIRE_onlyExonnoIRE","100","A22","3660.637358","3634.584461","3634.481218","3637.765858","3635.441161","3639.369227","3643.960143","3649.637763","3658.310843","3673.856093","3703.015315","3746.971925","3823.446992","3920.271067","4036.284109","4149.768866","4268.720831","4389.833076","4495.307996","4603.404452","4693.357243","4793.087891","4873.546621","4943.063432","5016.684562","5078.635662","5132.962693","5178.845261","5226.378759","5266.899159","5294.871191","5326.984453","5358.609628","5385.676082","5404.700722","5438.123131","5447.981958","5464.263858","5477.763441","5499.172229"
"V21","all_products","gblock_minusIRE_onlyExonnoIRE","100","A23","3673.635466","3638.190275","3643.998102","3640.408132","3645.220322","3641.99782","3648.667741","3648.323527","3657.165054","3668.501698","3696.696505","3749.25953","3811.731362","3907.624479","4013.619154","4128.04217","4237.452548","4348.700662","4453.358555","4558.210211","4651.484066","4736.440028","4819.439469","4890.784454","4952.836265","5023.489049","5080.975834","5124.289754","5167.313962","5208.336785","5239.942398","5276.207109","5306.752142","5332.981307","5352.200723","5375.286828","5399.046483","5414.912047","5422.398348","5444.649346"
"V22","all_products","gblock_minusIRE_onlyExonnoIRE","100","A24","3585.407507","3558.010831","3566.814532","3571.640218","3572.912841","3573.601613","3573.391519","3580.05862","3586.594327","3605.428824","3629.038614","3675.078925","3749.106226","3833.975275","3943.484967","4052.496488","4157.945565","4264.422638","4362.997141","4468.862075","4554.352267","4639.814948","4712.548735","4782.84672","4855.636733","4915.101842","4969.959648","5020.055614","5068.186204","5106.749421","5149.673797","5183.060799","5214.929067","5244.995785","5265.083386","5289.040444","5305.510638","5320.332127","5336.789005","5353.715705"
"V23","all_products","10_A_65","NaN","B1","3505.040346","3485.412438","3477.927968","3477.066905","3471.187341","3469.617897","3464.680626","3459.245714","3459.461755","3457.080139","3457.349936","3455.732024","3457.116133","3456.879616","3456.059548","3457.906391","3454.178105","3459.511572","3456.100654","3456.116255","3458.041096","3453.910119","3458.615986","3457.228833","3456.730133","3457.403287","3459.710513","3462.324995","3456.249444","3462.056797","3461.050745","3463.845219","3471.507175","3486.726863","3510.472567","3549.187422","3605.225718","3674.556726","3749.020963","3829.339982"
"V24","all_products","30_A_185","NaN","B2","3723.608644","3680.479708","3679.65742","3674.212397","3675.649131","3667.851676","3664.773061","3662.017781","3661.484376","3661.48374","3662.188513","3663.399923","3656.013627","3662.044815","3658.501185","3655.782862","3657.791583","3657.395894","3666.448595","3663.742034","3662.084919","3663.727145","3661.259052","3661.699471","3662.46855","3667.490089","3664.263553","3669.321674","3662.194897","3666.015742","3662.834596","3663.98997","3665.531107","3671.725293","3681.839403","3698.894385","3729.146951","3777.033496","3836.973523","3917.678512"
"V25","all_products","46_A_281","NaN","B3","3763.492459","3699.914937","3693.439558","3690.497456","3690.263786","3686.856681","3683.591299","3680.760294","3682.312386","3678.584334","3679.890904","3675.719242","3670.981402","3674.857188","3674.034722","3671.67379","3673.753929","3671.392481","3676.78533","3676.718127","3675.587289","3678.978413","3677.428033","3678.216102","3677.364375","3682.156023","3682.683852","3686.242935","3681.586041","3688.432097","3688.808337","3689.529547","3696.658725","3704.293532","3727.738692","3766.352555","3813.00099","3885.352314","3963.413985","4042.089057"
"V26","all_products","233_A_1653","NaN","B4","3627.685369","3584.988231","3582.6643","3579.214179","3578.016801","3576.65299","3567.444329","3566.70942","3562.65694","3569.489676","3568.988135","3565.638437","3566.060093","3567.050327","3566.848417","3566.598146","3566.228869","3569.478877","3570.663693","3566.034377","3565.275706","3569.387076","3566.161626","3559.064613","3566.04912","3558.475678","3564.510299","3572.155664","3569.675418","3568.063795","3569.093209","3576.498894","3582.311761","3598.315411","3620.279173","3657.570298","3715.804706","3779.476114","3850.463084","3922.080105"
"V27","all_products","162_A_941","NaN","B5","3694.251143","3631.675105","3629.856403","3624.812499","3621.751599","3618.597169","3613.382375","3612.323107","3609.952337","3608.028861","3611.891951","3607.409255","3605.307276","3607.843402","3611.834138","3608.263502","3611.897408","3606.523821","3607.106752","3608.878812","3609.8315","3606.905386","3605.37326","3609.666045","3605.021692","3609.069524","3608.582215","3613.265451","3609.191296","3617.834904","3619.4078","3621.230123","3632.624135","3653.744231","3682.178139","3729.293785","3801.012058","3882.274516","3966.581835","4043.760056"
"V28","all_products","170_A_989","NaN","B6","3678.495428","3638.444202","3635.814857","3634.381205","3628.56343","3628.92614","3627.223692","3623.202929","3625.38361","3627.839702","3623.56659","3622.052557","3622.744773","3621.887485","3624.306505","3626.746223","3625.833069","3627.64585","3624.812711","3624.3751","3621.784643","3626.127266","3623.83035","3621.429959","3627.596033","3627.5111","3629.693371","3630.470068","3627.029429","3629.675931","3630.513225","3631.541956","3635.924906","3648.579465","3660.184258","3688.243619","3736.633096","3795.620663","3874.94845","3955.595299"
"V29","all_products","206_A_1329","NaN","B7","3732.497077","3676.418389","3669.592812","3669.046","3668.541844","3665.765283","3665.139879","3660.646386","3663.245642","3661.328635","3658.916281","3657.745871","3658.842635","3656.801739","3665.154613","3662.619101","3660.373916","3658.834777","3660.724925","3662.104885","3658.939837","3661.903997","3663.265522","3658.337524","3658.193113","3660.812625","3664.559292","3667.212632","3661.477324","3663.881244","3665.816571","3671.824362","3674.429442","3683.961454","3702.570785","3734.892521","3783.061648","3847.980242","3924.829355","4001.393574"
"V30","all_products","212_A_1401","NaN","B8","3677.452755","3623.212733","3620.698127","3617.974733","3621.708332","3616.250666","3615.206874","3609.928919","3607.178614","3609.821133","3608.100661","3607.384739","3607.266712","3605.070033","3610.470429","3609.99644","3612.685232","3613.917525","3613.040927","3608.911959","3609.779599","3611.637401","3610.84182","3612.74705","3612.578003","3610.267122","3612.893565","3610.744093","3612.10582","3616.820014","3610.624544","3614.679993","3615.273402","3616.947025","3620.7788","3622.671598","3630.94039","3644.350297","3670.965579","3706.969257"
"V31","all_products","231_A_1629","NaN","B9","3775.087806","3715.242616","3709.576136","3708.4709","3704.59388","3705.00641","3701.47596","3699.149252","3693.804027","3696.751217","3691.976499","3691.753206","3688.236472","3692.873906","3692.787755","3692.784696","3691.340449","3690.198748","3689.867379","3696.675168","3693.171027","3693.619513","3692.704841","3690.45746","3693.155886","3696.901975","3696.424791","3696.897035","3694.2204","3693.299492","3692.311402","3696.560809","3700.935659","3705.981213","3706.185372","3719.160234","3733.924635","3766.233779","3821.399258","3887.639671"
"V32","all_products","243_A_1793","NaN","B10","3691.564572","3646.930789","3640.722879","3636.657188","3634.289822","3637.746755","3629.496311","3623.671703","3621.882256","3626.176739","3626.219631","3623.756874","3623.298295","3622.080441","3624.618908","3625.964294","3627.046635","3628.776264","3622.867218","3623.675595","3626.874875","3626.37031","3620.773813","3626.931382","3620.888186","3621.450572","3625.007069","3625.292432","3622.356827","3623.289115","3623.885563","3625.904844","3628.344249","3632.788943","3636.595054","3640.112506","3652.261773","3674.731675","3709.617031","3756.983081"
"V33","all_products","221_A_1509","NaN","B11","3734.423083","3677.097109","3673.791326","3665.587427","3662.11358","3663.49958","3664.128778","3660.581305","3659.002753","3662.748083","3656.77239","3653.425376","3660.244112","3660.505767","3657.009364","3660.364026","3657.31847","3659.619308","3658.206917","3660.393474","3657.898767","3659.454153","3658.136849","3661.972462","3658.37827","3659.907786","3661.564549","3659.687071","3659.09706","3659.44953","3656.364825","3657.3035","3660.801033","3667.503468","3673.155159","3681.811217","3696.694777","3724.744423","3773.655722","3833.903796"
"V34","all_products","248_A_1833","NaN","B12","3669.713984","3619.341436","3624.433253","3619.070573","3617.412417","3615.021714","3608.653925","3613.967875","3608.383253","3608.868631","3610.78196","3612.783292","3610.372623","3609.100973","3607.525255","3606.865451","3612.566158","3609.486232","3606.369646","3609.648456","3607.317312","3609.603325","3606.436458","3611.200429","3608.760124","3611.390178","3606.531848","3608.536717","3607.23232","3613.826012","3608.847515","3612.799563","3610.065101","3614.969647","3614.046931","3612.85729","3609.761669","3614.013225","3612.230067","3617.023236"
"V35","test1","gblock+IRE_plus18IRE","0.5","B16","3573.406022","3529.249166","3523.187009","3519.060915","3517.177599","3518.80244","3515.811259","3517.828564","3511.109544","3513.239277","3508.659368","3509.872925","3511.419","3514.251641","3518.157506","3517.862832","3524.603568","3539.246317","3560.165049","3601.517452","3664.554901","3747.852888","3839.313282","3942.971669","4046.293989","4137.8123","4223.033733","4301.081395","4377.693196","4445.635691","4510.241536","4571.18186","4623.560685","4670.316414","4713.363908","4748.34757","4789.251445","4819.754301","4846.286761","4873.596188"
"V36","test1","gblock+IRE_plus18IRE","0.5","B17","3658.494466","3604.840737","3600.285406","3597.736332","3593.406745","3589.890337","3583.708494","3588.409357","3587.826791","3586.728887","3585.876149","3584.408051","3592.093024","3594.711072","3590.821973","3591.35018","3601.486337","3617.172837","3638.950765","3686.734433","3755.1702","3845.463536","3955.24306","4065.134179","4176.312089","4278.910006","4371.517037","4462.489345","4549.916748","4620.497094","4685.380936","4752.062797","4806.235599","4857.84651","4896.068395","4940.315155","4979.296469","5012.629136","5042.784073","5074.586066"
"V37","test1","gblock+IRE_plus18IRE","0.5","B18","3541.915583","3494.770216","3491.11515","3496.279119","3484.937102","3485.975002","3483.689069","3483.125304","3485.193735","3481.627605","3483.92697","3480.580827","3482.247942","3486.628092","3484.728239","3488.249656","3496.363625","3507.655588","3533.74315","3574.417142","3633.637982","3712.608699","3802.716812","3904.081455","3997.478142","4094.332879","4172.40392","4247.872234","4320.860306","4387.553874","4444.951934","4500.200612","4552.305365","4594.790788","4632.248093","4668.715487","4703.295045","4730.941863","4763.259872","4787.038202"
"V38","all_products","gblock+IRE_plus18IRE","0.5","B19","3716.321679","3649.732289","3648.928858","3647.589467","3645.549843","3641.901933","3638.326857","3642.284134","3638.041762","3636.226265","3638.554727","3638.845078","3631.478503","3636.193603","3640.687131","3638.495365","3642.016901","3650.580828","3665.484237","3686.644411","3727.198271","3788.660976","3870.577276","3965.673985","4075.959151","4178.814162","4281.821291","4380.607083","4468.083297","4558.170454","4629.876726","4706.351505","4774.308057","4838.241283","4896.266235","4949.315297","4999.651794","5039.713674","5078.978589","5125.400872"
