"","reaction_type","sampleID","starting_quantity","Cycle_number","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"V50","test1","206_B_1330","NaN","C7","3506.083282","3468.393917","3465.721071","3461.626381","3458.486574","3457.070564","3456.756991","3447.060792","3447.062001","3446.879018","3450.447214","3449.083086","3447.560456","3441.799785","3444.730354","3443.625705","3441.363369","3440.00677","3441.41991","3443.488365","3440.415392","3441.881877","3444.408361","3450.597493","3458.653825","3468.567595","3489.666982","3528.604479","3589.86713","3664.05549","3751.930361","3841.235563","3926.971526","4005.326724","4087.835485","4154.006133","4228.437313","4289.313644","4348.657833","4404.613597"
"V51","test1","212_B_1402","NaN","C8","3479.049151","3437.887877","3429.097874","3427.234938","3420.206908","3422.519254","3421.237029","3422.925651","3417.312018","3419.26107","3415.709617","3416.969287","3417.880284","3411.025328","3415.369336","3411.521258","3408.538446","3411.868255","3408.393219","3409.271841","3408.035163","3408.863623","3411.907047","3410.439865","3416.430671","3422.158687","3430.448642","3459.41818","3493.895171","3549.470066","3620.207453","3707.477958","3788.611427","3871.553751","3948.662275","4017.646174","4092.558503","4152.721809","4209.617496","4268.001122"
"V52","test1","231_B_1630","NaN","C9","3530.951353","3494.993032","3494.540194","3490.221056","3486.932243","3485.89683","3475.468463","3479.588113","3479.138472","3477.214588","3474.103661","3475.369873","3478.030515","3475.446783","3474.111381","3467.405299","3468.240259","3471.013293","3468.29659","3466.497412","3465.414679","3467.017852","3471.290653","3468.164715","3470.472191","3473.973217","3477.309258","3477.559346","3491.61159","3507.012154","3532.301237","3588.565165","3654.123099","3738.111674","3824.675932","3911.173944","3997.35524","4076.712206","4150.847734","4224.384032"
"V53","test1","243_B_1794","NaN","C10","3598.400561","3564.437752","3561.473176","3553.29001","3555.590314","3550.252607","3552.868223","3549.807303","3548.429171","3550.199284","3546.388496","3546.714716","3546.985438","3546.310098","3544.559675","3541.411041","3546.363558","3543.060939","3537.393678","3542.567854","3542.638071","3542.675985","3544.711064","3541.529698","3544.631413","3546.745946","3551.905239","3558.887614","3568.405258","3584.732087","3625.641236","3681.844043","3754.585556","3851.153608","3936.504964","4024.210591","4112.754351","4197.602583","4276.255393","4352.908393"
"V54","test1","221_B_1510","NaN","C11","3552.916454","3522.528442","3520.332496","3514.700459","3514.813724","3508.883171","3509.340899","3502.954069","3498.826749","3500.995536","3496.532084","3499.072412","3494.733339","3496.103638","3496.344197","3495.612494","3492.009244","3486.880471","3489.954326","3494.206457","3491.832444","3491.442531","3489.40633","3495.798217","3500.430669","3509.244007","3521.473282","3549.695994","3593.164397","3655.268822","3735.508073","3825.544706","3909.987532","3995.204001","4075.440453","4158.638269","4231.033499","4299.598391","4370.224809","4427.566979"
"V55","test1","248_B_1834","NaN","C12","3494.064201","3455.230031","3455.615486","3448.760881","3447.522823","3443.848172","3443.419366","3441.076981","3440.228749","3441.268391","3438.522171","3437.066673","3437.112249","3439.268382","3433.145075","3434.554059","3432.654964","3434.918585","3432.223869","3433.93191","3433.774915","3433.847266","3432.334681","3431.545529","3434.451002","3436.932226","3441.436397","3450.470332","3476.999511","3507.562167","3555.346867","3623.817918","3695.401506","3768.382277","3841.611958","3913.892402","3979.289941","4046.04745","4106.556123","4157.938997"
"V56","test1","gblock+IRE_plus18IRE","50","C16","3487.322657","3449.296348","3445.700397","3444.446473","3438.209167","3439.654087","3437.253669","3440.231962","3442.895171","3440.499825","3458.435912","3474.641698","3509.56402","3563.415064","3644.12586","3733.528392","3832.838238","3923.626092","4024.064369","4113.830934","4189.284263","4264.749873","4333.630737","4399.006692","4456.272176","4507.126501","4555.720419","4589.587279","4625.919142","4655.647936","4684.299682","4701.984433","4730.244766","4746.339721","4759.161801","4770.673559","4785.35351","4802.13965","4811.30205","4818.666201"
"V57","test1","gblock+IRE_plus18IRE","50","C17","3514.972334","3479.549008","3476.646481","3475.756873","3471.79448","3467.35947","3468.558321","3468.48415","3471.576481","3474.891354","3483.339157","3501.204022","3542.507854","3598.8814","3677.796133","3767.869176","3874.242811","3974.605221","4074.506076","4169.088748","4251.756949","4335.8166","4406.839594","4470.502048","4530.099508","4588.544295","4638.900098","4684.117544","4717.432228","4753.831135","4783.038687","4802.65798","4823.579861","4844.713094","4857.732194","4877.523129","4894.925949","4907.311807","4916.371475","4928.270109"
"V58","test1","gblock+IRE_plus18IRE","50","C18","3558.74558","3519.858873","3513.171146","3513.70667","3508.735859","3507.747762","3509.406599","3509.185678","3507.816532","3511.3985","3523.35442","3543.770785","3588.220154","3651.539561","3730.012869","3832.46905","3941.266496","4049.415317","4154.96196","4248.900053","4340.702241","4422.883614","4502.93459","4568.333409","4629.983016","4686.822673","4739.295218","4791.792842","4820.940797","4862.160958","4888.202627","4918.861127","4934.515125","4961.094715","4974.32306","4992.753366","5010.568204","5020.360122","5034.075086","5047.917629"
"V59","all_products","gblock+IRE_plus18IRE","50","C19","3418.776964","3385.354987","3382.155836","3376.842229","3375.503422","3375.592508","3373.803271","3371.148028","3377.722936","3378.221746","3384.074173","3398.44423","3417.545146","3450.362985","3505.241233","3571.212218","3654.019624","3742.404898","3823.281181","3908.485925","3991.219401","4066.698157","4134.329209","4203.93126","4262.167061","4318.665131","4372.355849","4419.462499","4457.710513","4493.749688","4524.399","4552.911294","4580.342655","4604.839353","4624.450519","4643.754804","4660.771682","4677.93058","4693.117897","4709.243873"
"V60","all_products","gblock+IRE_plus18IRE","50","C20","3497.596808","3460.856753","3457.624373","3457.204757","3452.561622","3448.658053","3448.854176","3450.238609","3451.868843","3453.19844","3459.627368","3468.645562","3493.815562","3528.444715","3585.88626","3657.905421","3746.037695","3837.136201","3926.367243","4020.671575","4095.982931","4180.657772","4252.685346","4323.011247","4386.341698","4445.429881","4498.643263","4555.407378","4590.76003","4639.977618","4669.423875","4703.206544","4728.725113","4758.126508","4770.627232","4790.79774","4814.555405","4834.899626","4850.110577","4870.778251"
"V61","all_products","gblock+IRE_plus18IRE","50","C21","3519.882096","3480.639287","3478.309487","3476.321146","3479.306959","3474.48421","3479.498755","3478.055183","3480.585026","3485.763356","3492.464468","3509.150876","3530.78175","3570.304516","3634.709491","3709.923786","3800.690214","3897.999297","3999.262612","4090.744272","4175.58847","4265.911927","4342.346454","4417.160812","4483.506344","4549.20747","4608.839652","4665.451094","4689.90249","4730.470705","4764.654083","4804.93682","4834.876017","4869.001018","4891.832078","4918.155111","4941.011092","4963.112488","4974.574278","4997.906953"
"V62","all_products","gblock_minusIRE_onlyExonnoIRE","50","C22","3613.591136","3569.451337","3571.710281","3564.090792","3567.651018","3565.921826","3569.719892","3567.188387","3574.859854","3577.382803","3592.194956","3617.783696","3662.341802","3725.517778","3811.211343","3908.931396","4013.365785","4119.200489","4215.869455","4309.229313","4404.674474","4486.097792","4564.452214","4638.780981","4710.492335","4771.731473","4830.927839","4880.071415","4924.567602","4968.291472","5013.245549","5042.131876","5072.084706","5103.93739","5133.14909","5151.583361","5174.250896","5191.122998","5212.917459","5226.906782"
"V63","all_products","gblock_minusIRE_onlyExonnoIRE","50","C23","3577.944644","3532.210153","3535.725184","3528.405625","3527.98254","3533.453982","3533.447449","3528.099213","3536.118205","3539.492254","3551.564559","3578.907509","3619.780721","3689.081505","3771.636191","3874.657797","3978.930453","4080.848115","4186.927024","4283.404936","4376.954925","4466.767544","4548.326378","4623.137381","4691.320868","4760.52976","4814.622253","4866.827667","4913.600668","4960.513222","4993.591692","5029.610105","5055.31934","5083.796959","5106.888977","5133.631715","5156.349685","5169.229117","5179.969716","5201.025796"
"V64","all_products","gblock_minusIRE_onlyExonnoIRE","50","C24","3615.397849","3596.889979","3594.728005","3595.52445","3588.635952","3587.611432","3592.140083","3593.683133","3591.096795","3604.686083","3619.563941","3648.288009","3699.528043","3770.688777","3868.875837","3975.958776","4092.214672","4205.605048","4321.980746","4427.080036","4529.067437","4629.646718","4711.311066","4792.671376","4871.860554","4941.393117","5008.959376","5064.327465","5117.183576","5161.886603","5200.560737","5246.931272","5271.432942","5304.300953","5327.806206","5356.341792","5376.633254","5396.325011","5412.541717","5436.932108"
"V65","all_products","10_B_66","NaN","D1","3630.853782","3594.248154","3587.079806","3577.858137","3575.396006","3573.840418","3569.417755","3568.174281","3561.256246","3559.440698","3565.004406","3560.840015","3559.887469","3560.577462","3562.454187","3564.92989","3561.062092","3560.791402","3559.763039","3564.393727","3560.314499","3563.062536","3563.759479","3558.638443","3561.673556","3564.710417","3562.942883","3561.411079","3558.286472","3561.067117","3561.089878","3563.373962","3559.605563","3564.079609","3569.114802","3578.374229","3587.037379","3607.423565","3637.251118","3692.663554"
"V66","all_products","30_B_186","NaN","D2","3655.715625","3604.903406","3603.861804","3595.826195","3594.612166","3590.452677","3590.039759","3582.178341","3581.703904","3581.322418","3580.301684","3575.437233","3574.663469","3577.559486","3576.864168","3575.386172","3573.595909","3575.330522","3575.87713","3566.743113","3566.389673","3574.934611","3569.522447","3573.437376","3572.519533","3570.870353","3577.273621","3576.573303","3571.936249","3575.532375","3574.549194","3574.060586","3574.330556","3579.338497","3581.67674","3577.665281","3581.127153","3577.504377","3582.16727","3582.076146"
"V67","all_products","46_B_282","NaN","D3","3774.658646","3702.69844","3697.538131","3689.288847","3690.8786","3687.823647","3687.570018","3687.848533","3680.532735","3684.196601","3682.26235","3684.637114","3684.351522","3688.030699","3687.071343","3693.247759","3693.091161","3701.822043","3699.397425","3696.491228","3699.733243","3706.841325","3700.081894","3701.222951","3703.71922","3702.910577","3708.657147","3703.695085","3702.698891","3702.241187","3707.547105","3707.090764","3712.261562","3730.136129","3738.26943","3776.609047","3816.473626","3882.760226","3963.257912","4054.148352"
"V68","all_products","233_B_1654","NaN","D4","3669.352727","3614.759208","3611.847595","3608.289881","3605.297136","3603.789188","3597.585296","3595.428767","3599.021278","3598.735512","3595.837125","3592.778542","3592.999583","3597.622409","3597.490229","3591.656733","3595.573223","3594.692274","3594.02686","3595.455761","3593.36308","3596.694143","3596.186683","3594.783799","3594.581587","3600.458295","3599.701883","3592.575475","3592.53373","3595.380429","3595.003241","3595.354982","3596.481902","3602.949461","3611.262508","3620.889521","3645.762242","3687.004773","3720.920278","3762.874956"
"V69","all_products","162_B_942","NaN","D5","3702.254233","3642.037877","3639.245809","3630.216661","3627.801295","3625.083703","3624.906434","3622.298941","3618.247184","3620.842859","3617.414943","3611.852948","3613.161788","3617.458601","3615.108493","3615.039612","3617.579634","3614.540497","3614.799072","3612.683546","3614.454208","3618.49006","3612.279887","3615.271459","3614.997369","3616.883366","3619.329763","3616.07716","3616.018489","3619.211795","3620.771675","3625.139091","3632.046522","3656.340917","3682.358116","3728.585589","3789.180562","3866.947927","3947.986741","4033.218792"
"V70","all_products","170_B_990","NaN","D6","3723.180971","3665.441758","3659.688414","3655.182289","3651.401069","3648.051278","3642.269114","3642.382814","3638.330377","3638.108485","3631.618706","3635.798527","3634.967805","3633.885424","3638.502935","3635.877293","3633.715483","3635.002877","3634.002955","3636.247879","3633.994608","3640.839015","3638.577051","3635.41194","3635.642299","3635.451264","3638.299154","3634.596098","3636.542868","3640.093357","3638.405994","3643.318101","3648.452648","3661.27966","3671.59408","3707.385593","3751.566357","3813.238462","3893.685311","3976.977766"
"V71","all_products","206_B_1330","NaN","D7","3709.566601","3659.939566","3654.540089","3651.719768","3643.446902","3643.801077","3641.265014","3642.192326","3642.103276","3639.397755","3639.041269","3637.651143","3638.549747","3643.698849","3643.844037","3644.411989","3644.770899","3643.556272","3640.380942","3645.94782","3639.472042","3643.561468","3644.135458","3647.316456","3643.213265","3649.647027","3647.599426","3652.61122","3648.907795","3651.286283","3653.238661","3657.801577","3662.704273","3670.522078","3685.650254","3710.463561","3757.713024","3815.804617","3891.497006","3977.049303"
"V72","all_products","212_B_1402","NaN","D8","3695.392289","3632.381327","3627.549564","3622.810222","3618.5653","3624.524526","3617.704355","3618.886518","3618.11939","3618.634965","3616.60414","3614.126966","3615.524333","3618.756575","3618.433645","3618.898818","3619.175212","3619.968581","3619.932724","3620.080735","3616.313714","3619.572401","3620.435622","3619.855718","3619.460657","3621.305976","3624.913847","3618.341632","3620.547133","3622.062728","3621.629532","3629.652567","3627.750021","3636.422234","3645.718233","3652.843633","3675.624095","3713.032076","3759.193834","3832.709452"
"V73","all_products","231_B_1630","NaN","D9","3791.409233","3718.04423","3714.694609","3711.194994","3708.67624","3706.317169","3705.200774","3704.292468","3703.503461","3702.949957","3700.606219","3704.6659","3703.657401","3704.079171","3704.389805","3703.160261","3702.257327","3706.825917","3703.663604","3702.825416","3706.765258","3700.495201","3702.976675","3705.791865","3704.274179","3706.619205","3706.920685","3707.10021","3703.175971","3706.330385","3707.158629","3704.417363","3705.473845","3711.347185","3708.74759","3709.315406","3719.23218","3727.575518","3740.469705","3767.255078"
"V74","all_products","243_B_1794","NaN","D10","3741.757548","3682.859235","3680.123969","3677.119702","3670.440579","3672.550956","3668.84125","3665.132182","3663.476802","3661.201587","3661.893771","3658.764129","3658.972388","3662.138068","3658.568489","3663.378092","3658.895777","3660.066186","3659.682384","3659.356601","3657.17823","3658.958972","3659.368823","3662.642999","3658.170467","3667.517102","3662.532799","3660.654187","3657.689657","3659.926418","3659.205289","3662.257516","3664.84874","3662.018454","3665.888185","3667.191784","3672.384963","3681.176765","3699.503323","3722.744415"
"V75","all_products","221_B_1510","NaN","D11","3684.448119","3639.481884","3631.363108","3633.70952","3629.197708","3629.714273","3631.201947","3628.445294","3624.207335","3627.671667","3623.742561","3625.752058","3627.004705","3626.315389","3627.159899","3626.107935","3624.439503","3627.261872","3624.113782","3622.954257","3626.05339","3626.087864","3627.68889","3627.325329","3624.565953","3626.618002","3626.630057","3629.197735","3627.202083","3626.654579","3630.812939","3632.975502","3638.911534","3646.747088","3658.342317","3675.23115","3715.258226","3763.560055","3841.766285","3922.232591"
"V76","all_products","248_B_1834","NaN","D12","3713.149036","3654.527017","3656.088262","3650.543932","3648.595969","3646.556847","3643.717882","3644.829729","3641.80851","3641.868336","3639.807697","3636.139512","3641.818798","3644.425282","3640.026017","3640.24989","3637.934812","3637.17211","3638.70104","3637.719005","3640.956152","3637.99548","3639.58843","3637.096228","3641.398297","3637.240948","3639.537855","3643.240627","3641.253152","3638.611577","3638.368053","3641.108526","3645.762027","3642.659243","3640.042356","3640.383097","3640.15245","3646.047089","3648.93545","3647.168961"
"V77","test1","gblock+IRE_plus18IRE","0.1","D16","3483.412894","3433.121123","3433.875826","3433.214875","3428.704808","3427.573351","3425.402957","3424.801872","3418.737695","3421.380208","3422.341897","3420.186149","3422.255069","3422.055369","3422.717343","3421.042895","3423.106755","3427.165791","3435.881108","3445.424421","3461.470427","3490.486203","3534.127244","3600.892871","3686.559569","3778.370633","3867.531225","3958.246336","4038.927509","4116.797082","4180.635387","4251.02108","4315.889424","4370.588415","4420.316703","4463.521494","4515.427142","4551.715997","4579.706378","4619.350546"
"V78","test1","gblock+IRE_plus18IRE","0.1","D17","3588.43672","3544.156055","3543.184613","3540.234036","3535.680268","3535.632029","3532.760815","3536.489143","3530.88241","3531.333413","3528.80096","3529.404964","3530.987248","3532.150743","3533.621652","3533.208603","3534.353899","3538.037878","3544.219874","3551.369548","3574.869542","3614.248468","3664.901363","3745.727926","3847.579105","3956.314833","4060.618785","4159.243477","4253.813021","4340.056799","4421.930421","4502.476421","4568.548008","4629.979851","4685.908711","4741.185272","4786.299873","4829.707069","4872.309698","4905.516946"
"V79","test1","gblock+IRE_plus18IRE","0.1","D18","3605.254144","3554.46405","3550.882966","3548.119265","3547.311497","3542.022786","3539.797703","3540.951063","3540.205803","3538.706256","3537.881263","3540.821195","3535.102172","3536.634068","3540.56832","3539.066867","3543.285599","3541.573257","3550.576698","3560.250603","3578.067754","3608.943939","3662.963015","3743.425923","3835.978248","3938.640179","4042.060843","4136.49402","4230.573022","4314.940032","4397.550866","4475.016219","4542.843187","4604.244105","4657.992769","4718.243265","4760.290721","4800.444749","4838.653635","4877.868815"
"V80","all_products","gblock+IRE_plus18IRE","0.1","D19","3613.549282","3563.947511","3560.694952","3558.431929","3556.105228","3550.463782","3552.657146","3549.134922","3545.268412","3546.626875","3547.434787","3547.044795","3541.494837","3542.201802","3543.138569","3540.27958","3543.458305","3541.323911","3547.662951","3549.858333","3556.573621","3575.175383","3605.257349","3648.757765","3712.950516","3791.427518","3886.365554","3987.600756","4078.812998","4172.304023","4258.36924","4342.445901","4419.155684","4485.895282","4554.590708","4618.854945","4673.249112","4729.44195","4774.483969","4822.463222"
"V81","all_products","gblock+IRE_plus18IRE","0.1","D20","3631.442917","3579.684843","3573.499932","3574.549385","3578.766717","3568.972674","3568.982555","3567.267615","3569.802819","3565.36919","3564.803732","3566.13885","3563.377795","3566.615176","3568.78134","3568.310944","3568.431712","3568.064529","3571.270212","3577.561054","3583.212381","3600.318671","3628.306017","3676.646144","3737.843744","3824.01466","3922.369056","4024.695758","4126.052561","4223.626942","4321.290808","4408.046157","4495.593527","4571.391565","4638.87323","4710.838723","4777.490827","4830.94508","4884.114419","4935.196536"
"V82","all_products","gblock+IRE_plus18IRE","0.1","D21","3481.269974","3437.903558","3437.407878","3428.37094","3426.034559","3423.772937","3423.053364","3419.754233","3417.339537","3418.855797","3412.843637","3415.937049","3413.614431","3408.908364","3412.910173","3409.598604","3411.520728","3415.298545","3414.758542","3416.353266","3429.290645","3442.576534","3464.252197","3505.273166","3563.873565","3636.454324","3714.571608","3800.895226","3887.780522","3965.91077","4042.718726","4118.873081","4180.354956","4244.747635","4304.291416","4357.749368","4415.60635","4459.839228","4500.123784","4543.819796"
"V83","all_products","gblock_minusIRE_onlyExonnoIRE","0.1","D22","3483.171698","3430.248935","3424.303386","3419.786783","3417.611244","3415.896158","3412.084367","3410.125127","3413.229305","3405.136332","3402.555059","3400.034873","3399.231115","3397.733895","3397.997698","3401.149249","3399.651964","3401.590091","3411.526087","3416.427963","3433.45845","3467.352091","3508.745025","3576.641335","3657.411986","3740.97635","3829.807847","3913.82586","3993.807176","4064.932007","4133.483657","4198.818351","4262.905214","4318.759945","4370.36854","4418.896335","4460.973606","4501.863474","4538.013618","4572.40679"
"V84","all_products","gblock_minusIRE_onlyExonnoIRE","0.1","D23","3526.909847","3469.602919","3465.493788","3462.467971","3463.782148","3456.095756","3457.233863","3454.514945","3451.345029","3458.370639","3453.03018","3450.47421","3450.384729","3453.175469","3458.741263","3457.096178","3461.704617","3461.36948","3464.657907","3475.985108","3493.040248","3525.340956","3579.883988","3646.759938","3734.742171","3831.068232","3926.940721","4020.007513","4107.364398","4187.324597","4262.542387","4333.864627","4399.882498","4461.960454","4513.820249","4567.626884","4616.371907","4660.808958","4700.70754","4742.041708"
"V85","all_products","gblock_minusIRE_onlyExonnoIRE","0.1","D24","3645.998394","3614.796951","3608.973921","3603.833782","3600.420458","3598.875271","3595.297781","3594.319885","3591.686154","3589.597638","3586.744572","3582.560728","3586.237902","3585.98434","3589.852918","3586.941556","3583.733792","3589.719011","3598.56317","3610.57506","3628.928594","3667.5524","3719.642992","3800.570242","3893.085673","3991.754355","4099.465426","4193.053673","4290.746311","4385.088956","4471.277862","4549.113643","4626.869018","4693.089584","4755.131883","4812.228063","4866.478078","4913.945859","4965.403285","5009.788907"
"V86","test1","10_C_67","NaN","E1","3526.959694","3506.28671","3501.914004","3498.589963","3495.314092","3496.443425","3494.201476","3489.035217","3486.209875","3480.649092","3480.531715","3482.977218","3482.021632","3474.561625","3471.838621","3468.970884","3467.161267","3468.670451","3467.18872","3468.954823","3471.513448","3466.513127","3474.141903","3482.830573","3494.159342","3515.607003","3554.024243","3612.006791","3687.955156","3773.620866","3866.319924","3954.17608","4038.89697","4117.451192","4188.252565","4264.293103","4325.49967","4389.670551","4442.218482","4494.124856"
"V87","test1","30_C_187","NaN","E2","3541.790034","3504.546828","3494.949903","3496.072352","3493.38317","3489.35238","3491.235294","3488.741338","3487.314352","3478.598985","3479.759797","3479.141804","3476.520693","3480.274353","3477.184534","3478.895308","3473.824164","3473.708652","3477.805478","3475.207701","3474.371779","3480.319394","3478.693251","3488.962216","3501.150163","3523.687982","3557.643015","3622.047014","3694.111564","3784.602915","3880.264249","3974.836902","4061.118357","4138.020776","4212.076875","4286.249296","4353.625766","4416.581183","4472.602403","4532.712443"
"V88","test1","46_C_283","NaN","E3","3528.450565","3487.366919","3484.926336","3482.590062","3480.42623","3475.301238","3474.925702","3472.73543","3467.703971","3464.864869","3463.470216","3465.85936","3459.793701","3460.394166","3459.936386","3457.799552","3459.054949","3461.645228","3462.78593","3458.853714","3460.279634","3462.160625","3463.227838","3465.948409","3475.614479","3486.723626","3512.837343","3549.907821","3611.280101","3687.099099","3772.987051","3861.857818","3940.606373","4024.700789","4096.248064","4163.398683","4230.667278","4292.545129","4352.311132","4399.422305"
"V89","test1","233_C_1655","NaN","E4","3531.355564","3490.004961","3484.081986","3488.264306","3485.175407","3483.29367","3480.620451","3481.592582","3479.246578","3478.300176","3473.819899","3472.033365","3472.444573","3467.652796","3468.04233","3466.029051","3465.647777","3465.201269","3464.246208","3464.564991","3467.542485","3462.232562","3466.635233","3466.084556","3470.900517","3469.378865","3484.193043","3492.977506","3510.40157","3544.624991","3598.053457","3669.856835","3747.629176","3828.825747","3912.43949","3995.656598","4069.556253","4140.291255","4203.22455","4275.498016"
"V90","test1","162_C_943","NaN","E5","3460.831125","3422.924442","3419.57849","3420.891444","3417.488511","3415.299018","3414.610083","3410.687984","3408.911504","3405.762409","3400.937906","3401.181772","3400.923951","3402.129507","3400.137937","3399.256591","3399.271123","3397.458039","3395.539342","3398.208166","3404.896392","3403.600926","3411.353877","3418.679488","3437.538262","3470.249698","3511.63776","3580.395131","3663.665102","3739.529107","3820.228195","3901.017313","3972.08105","4039.507822","4105.301303","4169.05107","4221.148361","4276.435226","4327.94709","4374.479351"
"V91","test1","170_C_991","NaN","E6","3528.141099","3487.697035","3485.328106","3486.238559","3484.94801","3483.26988","3487.131011","3488.502887","3486.483638","3483.632403","3481.675454","3481.445631","3479.323393","3475.751689","3477.05846","3469.197952","3468.641967","3471.501802","3472.664181","3472.154827","3473.536825","3471.2116","3480.146754","3485.53097","3494.835245","3516.439743","3546.382585","3603.14174","3675.150448","3758.784352","3839.867133","3916.812071","4002.357143","4079.653453","4148.7067","4208.712466","4278.315833","4340.066873","4387.023393","4441.449576"
"V92","test1","206_C_1331","NaN","E7","3531.569702","3494.245188","3492.240056","3485.841078","3481.058239","3475.932741","3478.886163","3477.551263","3475.066286","3473.104662","3469.884884","3468.916975","3473.197476","3469.278538","3471.868593","3467.666388","3465.816996","3461.812724","3463.861897","3464.636613","3466.876166","3461.926853","3462.186938","3468.020822","3466.669669","3472.346479","3474.954767","3481.498532","3499.858363","3524.089127","3565.529216","3629.107725","3706.017176","3781.677852","3864.961296","3944.982258","4027.739685","4098.818511","4172.275332","4236.008526"
"V93","test1","212_C_1403","NaN","E8","3518.579112","3484.307395","3480.542559","3473.699237","3469.100483","3472.206824","3475.643514","3474.268013","3475.870468","3475.070161","3473.336414","3469.592584","3470.887307","3463.387788","3467.883504","3463.084523","3459.003611","3465.735982","3463.38081","3461.664365","3461.058649","3461.582927","3466.730179","3468.259971","3471.473644","3480.827282","3494.404025","3518.434274","3564.208735","3623.820172","3708.856695","3801.207996","3887.189693","3970.991485","4051.556413","4129.954667","4204.526582","4267.122659","4338.202978","4394.995648"
"V94","test1","231_C_1631","NaN","E9","3511.118222","3485.257665","3480.620397","3473.668969","3471.620207","3472.475578","3474.9062","3471.02963","3473.04697","3463.90941","3466.662499","3467.461083","3464.644365","3463.573911","3457.641197","3457.539744","3458.779188","3455.951871","3457.314759","3458.918066","3458.302615","3458.742593","3462.556917","3463.693145","3470.197976","3485.137852","3498.369599","3532.104047","3588.087472","3659.496891","3747.764379","3842.020334","3936.266476","4021.620394","4105.295499","4186.253356","4260.647343","4328.963263","4393.810128","4455.55854"
"V95","test1","243_C_1795","NaN","E10","3589.037389","3548.225097","3545.300864","3541.928658","3540.899339","3536.925482","3533.151265","3537.316515","3537.73857","3532.961174","3536.168596","3532.596592","3529.042843","3525.953757","3525.677144","3527.300128","3524.335463","3522.598113","3523.69034","3525.615704","3521.03458","3525.222835","3529.442088","3528.352299","3529.529796","3537.00066","3541.290103","3558.349763","3589.575916","3635.564129","3704.817139","3786.857677","3881.09709","3966.850957","4056.636393","4135.213411","4213.684636","4287.245855","4362.032615","4426.43167"
"V96","test1","221_C_1511","NaN","E11","3477.633502","3452.397683","3449.528254","3444.847915","3445.457141","3442.61082","3439.126533","3439.822542","3432.826635","3435.135887","3430.663208","3432.487567","3431.779537","3428.807891","3429.439355","3429.829186","3426.085049","3425.314501","3425.12479","3427.129657","3426.629681","3425.078363","3429.2349","3423.274944","3429.758786","3431.828731","3427.025603","3427.280524","3428.434579","3432.496525","3433.147692","3439.458911","3451.383393","3469.845405","3496.16093","3540.663574","3598.459456","3663.798562","3733.338249","3803.048233"
"V97","test1","248_C_1835","NaN","E12","3522.327333","3482.671444","3481.686005","3481.084996","3473.804519","3470.4728","3472.771039","3470.289599","3468.536735","3464.274215","3463.544634","3462.226455","3460.381917","3462.508767","3461.053729","3460.007206","3457.649493","3458.915354","3459.386388","3456.408728","3458.06034","3459.517367","3458.12165","3462.955884","3467.173806","3480.783979","3491.065608","3520.01619","3563.962991","3624.513591","3705.647497","3784.116726","3869.604121","3951.83036","4027.4963","4103.349446","4170.530065","4236.000581","4300.82274","4356.895429"
"V98","test1","gblock+IRE_plus18IRE","10","E16","3468.454958","3431.565767","3424.558007","3421.992404","3418.820639","3418.226634","3418.46589","3417.259144","3416.033903","3413.777461","3417.384114","3416.911338","3428.390595","3444.225926","3470.770824","3518.044122","3580.523993","3665.459256","3767.344403","3855.09794","3950.899007","4039.77462","4120.996455","4188.580677","4260.93608","4324.31647","4380.615082","4433.202162","4477.823038","4512.392915","4551.530072","4578.244512","4609.842612","4630.660054","4653.05113","4673.674796","4692.553286","4704.699895","4719.820199","4738.466969"
"V99","test1","gblock+IRE_plus18IRE","10","E17","3450.414797","3414.83563","3414.509233","3412.297328","3409.388445","3406.306005","3405.402964","3405.915589","3402.405857","3401.219165","3400.110397","3400.522146","3412.874906","3428.186908","3458.299732","3504.876419","3571.487852","3658.521209","3752.22536","3846.595862","3936.632803","4029.822814","4103.130443","4181.787076","4250.836632","4315.455084","4373.309449","4427.997266","4462.132137","4504.868442","4542.434294","4575.472413","4603.597876","4625.530096","4649.320318","4672.199221","4691.005608","4707.513321","4718.635812","4741.53876"
"V100","test1","gblock+IRE_plus18IRE","10","E18","3466.928834","3427.587452","3421.880662","3419.940886","3418.916852","3413.20737","3416.703632","3411.845519","3413.934295","3414.07064","3409.460508","3415.251358","3425.496733","3440.776015","3471.499103","3516.277434","3584.49619","3670.755663","3758.825067","3856.27449","3945.866504","4029.214759","4110.450559","4180.858959","4256.872932","4315.502989","4373.902007","4429.178644","4470.412265","4512.768181","4550.979339","4588.532736","4606.136473","4636.67217","4664.90843","4684.2361","4706.689163","4723.050064","4742.763289","4753.877102"
"V101","all_products","gblock+IRE_plus18IRE","10","E19","3456.511664","3417.828271","3417.841877","3414.641429","3407.380196","3409.577596","3404.856358","3405.785598","3404.27211","3406.387189","3404.121084","3404.89026","3407.848209","3419.367958","3439.641789","3465.427888","3508.207439","3570.635082","3648.49287","3741.837196","3829.561539","3915.08218","3999.761543","4074.253878","4154.11825","4217.706217","4286.753928","4345.596945","4398.225297","4443.898568","4486.466573","4523.027893","4562.350047","4591.952697","4618.5675","4646.750188","4672.046931","4690.185375","4709.226439","4733.531658"
