"","reaction_type","sampleID","starting_quantity","cpD1","cpD2"
"V2","reaction_type","sampleID","starting_quantity","cpD1","cpD2"
"V103","all_products","gblock+IRE_plus18IRE","10","23.15","17.8"
"V104","all_products","gblock+IRE_plus18IRE","10","23.12","17.66"
"V105","all_products","gblock_minusIRE_onlyExonnoIRE","10","22.19","16.829999999999998"
"V106","all_products","gblock_minusIRE_onlyExonnoIRE","10","22.32","16.82"
"V107","all_products","gblock_minusIRE_onlyExonnoIRE","10","22.07","16.52"
"V108","all_products","10_C_67","NaN","38.369999999999997","36"
"V109","all_products","30_C_187","NaN","38.4","36.299999999999997"
"V110","all_products","46_C_283","NaN","39.11","36.94"
"V111","all_products","233_C_1655","NaN","40","1.1599999999999999"
"V112","all_products","162_C_943","NaN","38.17","35.69"
"V113","all_products","170_C_991","NaN","38.909999999999997","36.380000000000003"
"V114","all_products","206_C_1331","NaN","40","40"
"V115","all_products","212_C_1403","NaN","40","38.89"
"V116","all_products","231_C_1631","NaN","39.94","37.409999999999997"
"V117","all_products","243_C_1795","NaN","40","38.950000000000003"
"V118","all_products","221_C_1511","NaN","40","1"
"V119","all_products","248_C_1835","NaN","39.21","37.03"
"V120","test1","gblock+IRE_plus18IRE","0.05","29.22","24.9"
"V121","test1","gblock+IRE_plus18IRE","0.05","29.17","24.87"
"V122","test1","gblock+IRE_plus18IRE","0.05","29.22","24.93"
"V123","all_products","gblock+IRE_plus18IRE","0.05","30.88","26.56"
"V124","all_products","gblock+IRE_plus18IRE","0.05","30.91","26.55"
"V125","all_products","gblock+IRE_plus18IRE","0.05","30.87","26.61"
"V126","all_products","gblock_minusIRE_onlyExonnoIRE","0.05","29.35","24.92"
"V127","all_products","gblock_minusIRE_onlyExonnoIRE","0.05","29.32","24.76"
"V128","all_products","gblock_minusIRE_onlyExonnoIRE","0.05","29.46","25"
"V129","test1","10_D_68","NaN","32.92","29.32"
"V130","test1","30_D_188","NaN","34.07","30.84"
"V131","test1","46_D_284","NaN","34.76","31.66"
"V132","test1","233_D_1656","NaN","33.75","30.22"
"V133","test1","162_D_944","NaN","31.87","27.99"
"V134","test1","170_D_992","NaN","32.619999999999997","28.93"
"V135","test1","212_D_1404","NaN","38.78","36.78"
"V136","test1","231_D_1632","NaN","34.130000000000003","30.78"
"V137","test1","243_D_1796","NaN","35.06","32.01"
"V138","test1","221_D_1512","NaN","32.74","29.09"
"V139","test1","248_D_1836","NaN","33.78","30.44"
"V140","test1","gblock+IRE_plus18IRE","5","22.64","17.899999999999999"
"V141","test1","gblock+IRE_plus18IRE","5","22.8","17.93"
"V142","test1","gblock+IRE_plus18IRE","5","22.67","17.82"
"V143","all_products","gblock+IRE_plus18IRE","5","24.17","19.079999999999998"
"V144","all_products","gblock+IRE_plus18IRE","5","24.17","19.03"
"V145","all_products","gblock+IRE_plus18IRE","5","24.21","18.989999999999998"
"V146","all_products","gblock_minusIRE_onlyExonnoIRE","5","22.99","17.75"
"V147","all_products","gblock_minusIRE_onlyExonnoIRE","5","23.04","17.72"
"V148","all_products","gblock_minusIRE_onlyExonnoIRE","5","22.93","17.55"
"V149","all_products","10_D_68","NaN","38.4","36.15"
"V150","all_products","30_D_188","NaN","40","1"
"V151","all_products","46_D_284","NaN","40","40"
"V152","all_products","233_D_1656","NaN","40","37.67"
"V153","all_products","162_D_944","NaN","38.5","35.9"
"V154","all_products","170_D_992","NaN","39.11","36.659999999999997"
"V155","all_products","212_D_1404","NaN","40","1.24"
"V156","all_products","231_D_1632","NaN","40","37.92"
"V157","all_products","243_D_1796","NaN","40","40"
"V158","all_products","221_D_1512","NaN","38.79","36.28"
"V159","all_products","248_D_1836","NaN","40","38.01"
"V160","test1","gblock+IRE_plus18IRE","0.01","31.32","27.27"
"V161","test1","gblock+IRE_plus18IRE","0.01","31.23","27.3"
"V162","test1","gblock+IRE_plus18IRE","0.01","31.27","27.29"
"V163","all_products","gblock+IRE_plus18IRE","0.01","32.840000000000003","29.01"
"V164","all_products","gblock+IRE_plus18IRE","0.01","32.950000000000003","29.04"
"V165","all_products","gblock+IRE_plus18IRE","0.01","32.880000000000003","29.08"
"V166","all_products","gblock_minusIRE_onlyExonnoIRE","0.01","31.47","27.47"
"V167","all_products","gblock_minusIRE_onlyExonnoIRE","0.01","31.45","27.37"
"V168","all_products","gblock_minusIRE_onlyExonnoIRE","0.01","31.59","27.53"
"V169","test1","19_A_125","NaN","34.89","31.88"
"V170","test1","35_A_221","NaN","36.14","33.49"
"V171","test1","70_A_425","NaN","37.65","35.54"
"V172","test1","242_A_1761","NaN","33.33","29.74"
"V173","test1","166_A_965","NaN","33.840000000000003","30.46"
"V174","test1","201_A_1269","NaN","36.19","33.39"
"V175","test1","209_A_1365","NaN","32.97","29.27"
"V176","test1","214_A_1425","NaN","36.42","33.57"
"V177","test1","236_A_1689","NaN","35.06","32.1"
"V178","test1","245_A_1797","NaN","38.450000000000003","36.43"
"V179","test1","250_A_1857","NaN","35.369999999999997","32.43"
"V180","test1","gblock+IRE_plus18IRE","1","25.3","20.75"
"V181","test1","gblock+IRE_plus18IRE","1","25.42","20.81"
"V182","test1","gblock+IRE_plus18IRE","1","25.41","20.79"
"V183","all_products","gblock+IRE_plus18IRE","1","26.93","22.11"
"V184","all_products","gblock+IRE_plus18IRE","1","27.07","22.14"
"V185","all_products","gblock+IRE_plus18IRE","1","27.05","22.12"
"V186","all_products","gblock_minusIRE_onlyExonnoIRE","1","25.29","20.3"
"V187","all_products","gblock_minusIRE_onlyExonnoIRE","1","25.39","20.43"
"V188","all_products","gblock_minusIRE_onlyExonnoIRE","1","25.3","20.2"
"V189","all_products","19_A_125","NaN","40","39.07"
"V190","all_products","35_A_221","NaN","40","1.1299999999999999"
"V191","all_products","70_A_425","NaN","40","1.03"
"V192","all_products","242_A_1761","NaN","39.26","36.92"
"V193","all_products","166_A_965","NaN","40","37.979999999999997"
"V194","all_products","201_A_1269","NaN","40","1.29"
"V195","all_products","209_A_1365","NaN","39.94","36.83"
"V196","all_products","214_A_1425","NaN","40","1"
"V197","all_products","236_A_1689","NaN","40","40"
"V198","all_products","245_A_1797","NaN","40","1.33"
"V199","all_products","250_A_1857","NaN","39.74","37.92"
"V200","test1","19_B_126","NaN","32.840000000000003","29.28"
"V201","test1","35_B_222","NaN","33.01","29.38"
"V202","test1","70_B_426","NaN","32.61","28.82"
"V203","test1","242_B_1762","NaN","33.450000000000003","29.92"
"V204","test1","166_B_966","NaN","33.9","30.56"
"V205","test1","201_B_1270","NaN","33.200000000000003","29.52"
"V206","test1","209_B_1366","NaN","32.47","28.8"
"V207","test1","214_B_1426","NaN","32.36","28.59"
"V208","test1","236_B_1690","NaN","33.619999999999997","30.25"
"V209","test1","245_B_1798","NaN","34.380000000000003","31.2"
"V210","test1","250_B_1858","NaN","37.01","34.659999999999997"
"V211","all_products","19_B_126","NaN","39.39","36.950000000000003"
"V212","all_products","35_B_222","NaN","39.57","37.26"
"V213","all_products","70_B_426","NaN","39.659999999999997","36.909999999999997"
"V214","all_products","242_B_1762","NaN","40","37.76"
"V215","all_products","166_B_966","NaN","40","39.51"
"V216","all_products","201_B_1270","NaN","39.340000000000003","36.86"
"V217","all_products","209_B_1366","NaN","39.75","36.880000000000003"
"V218","all_products","214_B_1426","NaN","38.46","35.99"
"V219","all_products","236_B_1690","NaN","39.15","36.67"
"V220","all_products","245_B_1798","NaN","40","40"
"V221","all_products","250_B_1858","NaN","40","1"
"V222","test1","19_C_127","NaN","32.369999999999997","28.65"
"V223","test1","35_C_223","NaN","32.78","29.07"
"V224","test1","70_C_427","NaN","32.35","28.47"
"V225","test1","242_C_1763","NaN","32.96","29.3"
"V226","test1","166_C_967","NaN","33.71","30.21"
"V227","test1","201_C_1271","NaN","35.47","32.5"
"V228","test1","209_C_1367","NaN","32.74","29.04"
"V229","test1","214_C_1427","NaN","33.82","30.4"
"V230","test1","236_C_1691","NaN","34.65","31.55"
"V231","test1","245_C_1799","NaN","35.49","32.659999999999997"
"V232","test1","188_A_1197","NaN","33.47","29.98"
"V233","test1","250_C_1859","NaN","36.299999999999997","33.630000000000003"
"V234","all_products","19_C_127","NaN","38.25","35.869999999999997"
"V235","all_products","35_C_223","NaN","39.07","36.479999999999997"
"V236","all_products","70_C_427","NaN","39","36.630000000000003"
"V237","all_products","242_C_1763","NaN","38.549999999999997","36.200000000000003"
"V238","all_products","166_C_967","NaN","40","37.72"
"V239","all_products","201_C_1271","NaN","39.72","37.380000000000003"
"V240","all_products","209_C_1367","NaN","38.729999999999997","36.200000000000003"
"V241","all_products","214_C_1427","NaN","40","39.82"
"V242","all_products","236_C_1691","NaN","40","40"
"V243","all_products","245_C_1799","NaN","40","40"
"V244","all_products","188_A_1197","NaN","40","37.82"
"V245","all_products","250_C_1859","NaN","40","1"
"V246","test1","19_D_128","NaN","34.86","31.83"
"V247","test1","35_D_224","NaN","33.76","30.46"
"V248","test1","70_D_428","NaN","37.229999999999997","34.82"
"V249","test1","242_D_1764","NaN","36.54","34.020000000000003"
"V250","test1","166_D_968","NaN","34.14","30.82"
"V251","test1","201_D_1272","NaN","33.71","30.36"
"V252","test1","209_D_1368","NaN","35.1","32.21"
"V253","test1","214_D_1428","NaN","35.79","33.130000000000003"
"V254","test1","236_D_1692","NaN","35.86","33.24"
"V255","test1","245_D_1800","NaN","37.22","35.18"
"V256","test1","188_B_1198","NaN","35.39","32.53"
"V257","test1","250_D_1860","NaN","38.24","36.44"
"V258","all_products","19_D_128","NaN","40","40"
"V259","all_products","35_D_224","NaN","40","38.39"
"V260","all_products","70_D_428","NaN","40","1.0900000000000001"
"V261","all_products","242_D_1764","NaN","40","1"
"V262","all_products","166_D_968","NaN","40","38.86"
"V263","all_products","201_D_1272","NaN","40","39.15"
"V264","all_products","209_D_1368","NaN","40","38.61"
"V265","all_products","214_D_1428","NaN","40","40"
"V266","all_products","236_D_1692","NaN","40","1"
"V267","all_products","245_D_1800","NaN","40","1"
"V268","all_products","188_B_1198","NaN","40","1"
"V269","all_products","250_D_1860","NaN","40","1.75"
"V270","test1","NTC","NaN","40","1"
"V271","test1","NTC","NaN","40","1"
"V272","test1","NTC","NaN","40","1"
"V273","all_products","NTC","NaN","40","6.23"
"V274","all_products","NTC","NaN","40","1.0900000000000001"
"V275","all_products","NTC","NaN","40","1"
"V276","all_products","NTC","NaN","40","1"
"V277","all_products","NTC","NaN","40","1"
"V278","all_products","NTC","NaN","40","1"
