"","reaction_type","sampleID","starting_quantity","cpD1","cpD2"
"V126","all_products","1846","NaN","27.46","26.71"
"V127","all_products","gblock+IRE_plus18IRE","1.00","12.04"," 9.64"
"V128","all_products","gblock+IRE_plus18IRE","1.00","11.98"," 9.55"
"V129","all_products","gblock+IRE_plus18IRE","1.00","11.24"," 8.59"
"V130","all_products","gblock_minusIRE_onlyExonnoIRE","1.00","10.65"," 7.91"
"V131","all_products","gblock_minusIRE_onlyExonnoIRE","1.00","10.13"," 7.33"
"V132","all_products","gblock_minusIRE_onlyExonnoIRE","1.00","9.68","6.80"
"V133","all_products","1016","NaN","25.46","22.81"
"V134","all_products","1037","NaN","27.84","26.78"
"V135","all_products","1074","NaN","23.37","20.40"
"V136","all_products","1199","NaN","25.09","22.98"
"V137","all_products","1281","NaN","22.80","19.81"
"V138","all_products","1293","NaN","24.26","22.49"
"V139","all_products","1306","NaN","13.23","10.21"
"V140","all_products","1462","NaN","16.85","11.78"
"V141","all_products","1467","NaN","22.35","20.00"
"V142","all_products","1390","NaN","21.56","19.17"
"V143","all_products","1356","NaN","13.40","13.13"
"V144","all_products","1378","NaN","23.5"," 6.9"
"V145","all_products","1497","NaN","14.57","12.42"
"V146","all_products","1524","NaN","1","1"
"V147","all_products","1463","NaN","1","1"
"V148","all_products","gblock+IRE_plus18IRE","0.005 ","19.49","18.56"
"V149","all_products","gblock+IRE_plus18IRE","0.005 ","17.56","15.38"
"V150","all_products","gblock+IRE_plus18IRE","0.005 ","20.09","18.89"
"V151","all_products","gblock_minusIRE_onlyExonnoIRE","0.005 ","18.78","17.43"
"V152","all_products","gblock_minusIRE_onlyExonnoIRE","0.005 ","17.17","14.74"
"V153","all_products","gblock_minusIRE_onlyExonnoIRE","0.005 ","18.5","17.1"
"V154","all_products","511","NaN","28.39","27.46"
"V155","all_products","535","NaN","26.78","24.50"
"V156","all_products","559","NaN","27.52","26.67"
"V157","all_products","583","NaN","30.85","30.15"
"V158","all_products","607","NaN","27.96","27.42"
"V159","all_products","631","NaN","27.79"," 6.07"
"V160","all_products","654","NaN","27.00","25.63"
"V161","all_products","679","NaN","26.07","24.54"
"V162","all_products","703","NaN","26.27","24.85"
"V163","all_products","1812","NaN","27.56","26.79"
"V164","all_products","1845","NaN","26.75","26.08"
"V165","all_products","gblock+IRE_plus18IRE","0.50","13.21","11.15"
"V166","all_products","gblock+IRE_plus18IRE","0.50","12.98","10.87"
"V167","all_products","gblock+IRE_plus18IRE","0.50","12.36","10.00"
"V168","all_products","gblock_minusIRE_onlyExonnoIRE","0.50","12.20"," 9.84"
"V169","all_products","gblock_minusIRE_onlyExonnoIRE","0.50","12.42"," 9.99"
"V170","all_products","gblock_minusIRE_onlyExonnoIRE","0.50","10.28"," 7.52"
"V171","all_products","977","NaN","28.42","24.22"
"V172","all_products","1013","NaN","23.75","21.31"
"V173","all_products","1075","NaN","25.34","22.15"
"V174","all_products","1259","NaN","24.38","21.79"
"V175","all_products","1282","NaN","22.88","19.69"
"V176","all_products","1223","NaN","27.75","24.24"
"V177","all_products","1317","NaN","14.18","11.20"
"V178","all_products","1380","NaN","21.59","20.27"
"V179","all_products","1452","NaN","21.70","21.21"
"V180","all_products","1389","NaN","25.89","21.98"
"V181","all_products","1486","NaN","15.29","11.20"
"V182","all_products","1523","NaN","33.15","31.72"
"V183","all_products","1543","NaN","19.15","14.17"
"V184","all_products","1449","NaN","18.81","17.15"
"V185","all_products","1332","NaN","16.79","12.93"
"V186","all_products","512","NaN","27.50","26.86"
"V187","all_products","536","NaN","28.48","27.66"
"V188","all_products","560","NaN","27.12","25.85"
"V189","all_products","584","NaN","27.24","26.57"
"V190","all_products","608","NaN","27.85","27.02"
"V191","all_products","632","NaN","27.46","26.84"
"V192","all_products","655","NaN","27.30","26.59"
"V193","all_products","680","NaN","28.20","27.55"
"V194","all_products","704","NaN","26.32","24.75"
"V195","all_products","1824","NaN","27.80","27.25"
"V196","all_products","1025","NaN","1","1"
"V197","all_products","1039","NaN","24.53","22.33"
"V198","all_products","1087","NaN","23.08","21.07"
"V199","all_products","1260","NaN","24.41","22.28"
"V200","all_products","1283","NaN","24.06","21.75"
"V201","all_products","1294","NaN","23.17","21.18"
"V202","all_products","1221","NaN","12.23"," 9.88"
"V203","all_products","1521","NaN","18.69","12.33"
"V204","all_products","1533","NaN","22.73","20.04"
"V205","all_products","1392","NaN","23.05","17.00"
"V206","all_products","1499","NaN","21.50","16.58"
"V207","all_products","1450","NaN","24.34","21.23"
"V208","all_products","1461","NaN","27.62","26.79"
"V209","all_products","1485","NaN","24.03","20.90"
"V210","all_products","521","NaN","28.01","27.28"
"V211","all_products","545","NaN","24.30","22.43"
"V212","all_products","569","NaN","26.92","26.35"
"V213","all_products","593","NaN","25.70","23.82"
"V214","all_products","617","NaN","29.69","28.63"
"V215","all_products","656","NaN","25.46","23.66"
"V216","all_products","665","NaN","29.81","29.14"
"V217","all_products","689","NaN","27.46","26.71"
"V218","all_products","713","NaN","28.91","28.22"
"V219","all_products","1823","NaN","27.67","27.07"
"V220","all_products","979","NaN","23.49","20.71"
"V221","all_products","1200","NaN","23.66","21.68"
"V222","all_products","1088","NaN","23.05","21.62"
"V223","all_products","1245","NaN","24.03","21.99"
"V224","all_products","1247","NaN","23.25","20.98"
"V225","all_products","1284","NaN","23.35","15.33"
"V226","all_products","1222","NaN","16.03","12.08"
"V227","all_products","1487","NaN","20.88","19.25"
"V228","all_products","1437","NaN","30.34","28.76"
"V229","all_products","1500","NaN","20.74","10.22"
"V230","all_products","1391","NaN","27.16","24.73"
"V231","all_products","1377","NaN","1","1"
"V232","all_products","522","NaN","2.19","1.50"
"V233","all_products","546","NaN","33.96","32.45"
"V234","all_products","570","NaN","34.67","32.94"
"V235","all_products","594","NaN","35.81","33.39"
"V236","all_products","618","NaN","36.03","33.91"
"V237","all_products","641","NaN","33.44","32.40"
"V238","all_products","666","NaN","33.99","31.85"
"V239","all_products","690","NaN","36.01","33.77"
"V240","all_products","714","NaN","32.13","31.53"
"V241","all_products","1822","NaN"," 1.00","14.75"
"V242","all_products","1076","NaN","16.4","13.0"
"V243","all_products","1062","NaN","15.02","11.25"
"V244","all_products","1027","NaN","23.95","21.67"
"V245","all_products","1246","NaN","22.09","19.13"
"V246","all_products","1248","NaN","22.76","21.05"
"V247","all_products","1295","NaN","22.24","20.74"
"V248","all_products","1224","NaN","16.27"," 9.56"
"V249","all_products","1425","NaN","1","1"
"V250","all_products","1341","NaN","31.73","30.37"
"V251","all_products","1439","NaN","1","1"
"V252","all_products","1557","NaN","29.63","27.74"
"V253","all_products","1379","NaN","30.63","28.86"
"V254","all_products","1354","NaN","28.77","26.90"
"V255","all_products","1534","NaN","30.65","29.85"
"V256","all_products","NTC","NaN","39.63","35.67"
"V257","all_products","NTC","NaN","45.00","30.44"
"V258","all_products","NTC","NaN","36.35","33.98"
"V259","all_products","NTC","NaN","35.26","29.62"
"V260","all_products","NTC","NaN","34.05","32.93"
"V261","all_products","NTC","NaN","35.15","21.25"
"V1.1","1","2","3","cpD1","cpD2"
"V2.1","reaction_type","unique_sampleID_number","starting_quantity","cpD1","cpD2"
"V3.1","test1","499","NaN","17.34","14.75"
"V4.1","test1","523","NaN","16.13","12.83"
"V5.1","test1","547","NaN","15.04","11.70"
"V6.1","test1","571","NaN","17.07","13.87"
"V7.1","test1","595","NaN","16.69","14.49"
"V8.1","test1","619","NaN","16.56","13.47"
"V9.1","test1","642","NaN","16.36","13.33"
"V10.1","test1","667","NaN","18.49","15.89"
"V11.1","test1","691","NaN","17.31","14.62"
"V12.1","test1","715","NaN","17.36","14.21"
"V13.1","test1","1821","NaN","17.21","14.99"
"V14.1","test1","gblock+IRE_plus18IRE","50.000","8.66","4.83"
"V15.1","test1","gblock+IRE_plus18IRE","50.000","10.25"," 6.54"
"V16.1","test1","gblock+IRE_plus18IRE","50.000","9.25","5.37"
"V17.1","test1","1050","NaN","13.42","10.44"
"V18.1","test1","1040","NaN","17.20","15.59"
"V19.1","test1","1063","NaN","13.18","10.47"
"V20.1","test1","1061","NaN","19.23","17.99"
"V21.1","test1","1085","NaN","13.64","11.09"
"V22.1","test1","1275","NaN","14.71","12.07"
"V23.1","test1","1308","NaN","13.85","10.58"
"V24.1","test1","980","NaN","13.47"," 9.99"
"V25.1","test1","1451","NaN","13.38"," 9.88"
"V26.1","test1","1355","NaN","11.98"," 9.46"
"V27.1","test1","1558","NaN","17.39","13.98"
"V28.1","test1","1545","NaN","23.10","19.99"
"V29.1","test1","1546","NaN","11.51"," 8.18"
"V30.1","test1","1424","NaN","12.68","10.27"
"V31.1","test1","1498","NaN","20.86","18.89"
"V32.1","test1","gblock+IRE_plus18IRE","0.100","11.15"," 8.35"
"V33.1","test1","gblock+IRE_plus18IRE","0.100","11.19"," 8.41"
"V34.1","test1","gblock+IRE_plus18IRE","0.100","11.90"," 9.33"
"V35.1","test1","500","NaN","16.65","14.30"
"V36.1","test1","524","NaN","16.08","13.25"
"V37.1","test1","548","NaN","14.65","10.82"
"V38.1","test1","572","NaN","17.36","15.04"
"V39.1","test1","596","NaN","15.63","12.52"
"V40.1","test1","620","NaN","16.01","12.83"
"V41.1","test1","643","NaN","15.84","13.61"
"V42.1","test1","668","NaN","19.90","18.34"
"V43.1","test1","692","NaN","15.50","12.51"
"V44.1","test1","1809","NaN","16.61","14.34"
"V45.1","test1","1848","NaN","14.40","11.91"
"V46.1","test1","gblock+IRE_plus18IRE","10.000","7.76","4.38"
"V47.1","test1","gblock+IRE_plus18IRE","10.000","7.67","4.13"
"V48.1","test1","gblock+IRE_plus18IRE","10.000","8.08","4.74"
"V49.1","test1","1014","NaN","15.36","12.83"
"V50.1","test1","1051","NaN","14.86","12.21"
"V51.1","test1","1064","NaN","14.43","11.82"
"V52.1","test1","1026","NaN","13.49","11.25"
"V53.1","test1","1086","NaN","12.87","10.22"
"V54.1","test1","1258","NaN","14.21","12.05"
"V55.1","test1","1296","NaN","10.72"," 7.68"
"V56.1","test1","978","NaN","16.00","12.41"
"V57.1","test1","1440","NaN","16.31","13.10"
"V58.1","test1","1320","NaN","21.62","18.48"
"V59.1","test1","1535","NaN","1","1"
"V60.1","test1","1547","NaN","1","1"
"V61.1","test1","1426","NaN","21.40","20.47"
"V62.1","test1","1522","NaN","16.33","14.27"
"V63.1","test1","1342","NaN","14.88","11.40"
"V64.1","test1","gblock+IRE_plus18IRE","0.050","12.54","10.04"
"V65.1","test1","gblock+IRE_plus18IRE","0.050","11.13"," 8.21"
"V66.1","test1","gblock+IRE_plus18IRE","0.050","12.93","10.67"
"V67.1","test1","509","NaN","18.00","15.35"
"V68.1","test1","533","NaN","17.96","16.31"
"V69.1","test1","557","NaN","13.79","10.33"
"V70.1","test1","581","NaN","17.67","15.59"
"V71.1","test1","605","NaN","16.43","13.69"
"V72.1","test1","629","NaN","16.66","13.64"
"V73.1","test1","644","NaN","15.62","12.58"
"V74.1","test1","677","NaN","16.93","14.04"
"V75.1","test1","701","NaN","13.58","10.34"
"V76.1","test1","1810","NaN","13.9","11.4"
"V77.1","test1","1847","NaN","16.32","14.12"
"V78.1","test1","gblock+IRE_plus18IRE","5.000","8.68","4.72"
"V79.1","test1","gblock+IRE_plus18IRE","5.000","9.7","6.0"
"V80.1","test1","gblock+IRE_plus18IRE","5.000","9.80","5.96"
"V81.1","test1","1015","NaN","16.34","13.93"
"V82.1","test1","1038","NaN","16.01","13.59"
"V83.1","test1","1073","NaN","11.86"," 9.01"
"V84.1","test1","1049","NaN","13.39","10.83"
"V85.1","test1","1052","NaN","12.96","10.37"
"V86.1","test1","1305","NaN","14.12","11.86"
"V87.1","test1","1307","NaN","14.64","12.80"
"V88.1","test1","1026","NaN","13.82","11.24"
"V89.1","test1","1423","NaN","14.37","11.49"
"V90.1","test1","1318","NaN","20.30","18.96"
"V91.1","test1","1344","NaN","16.36","14.58"
"V92.1","test1","1353","NaN","21.93","15.38"
"V93.1","test1","1488","NaN","16.17","13.22"
"V94.1","test1","1536","NaN","13.21","10.55"
"V95.1","test1","1329","NaN","16.62","13.79"
"V96.1","test1","gblock+IRE_plus18IRE","0.010","13.78","11.29"
"V97.1","test1","gblock+IRE_plus18IRE","0.010","12.58"," 9.98"
"V98.1","test1","gblock+IRE_plus18IRE","0.010","14.74","12.26"
"V99.1","test1","510","NaN","15.89","12.76"
"V100.1","test1","534","NaN","17.04","14.42"
"V101.1","test1","558","NaN","16.38","13.97"
"V102.1","test1","582","NaN","16.05","13.37"
"V103.1","test1","606","NaN","15.72","12.66"
"V104.1","test1","630","NaN","16.84","14.47"
"V105.1","test1","653","NaN","16.63","13.66"
"V106.1","test1","678","NaN","16.73","13.42"
"V107.1","test1","702","NaN","16.69","14.28"
"V108.1","test1","1811","NaN","17.30","15.28"
"V109.1","test1","1846","NaN","15.20","12.76"
"V110.1","test1","gblock+IRE_plus18IRE","1.000","10.33"," 7.50"
"V111.1","test1","gblock+IRE_plus18IRE","1.000","10.78"," 8.13"
"V112.1","test1","gblock+IRE_plus18IRE","1.000","10.07"," 7.10"
"V113.1","test1","1016","NaN","17.26","16.01"
"V114.1","test1","1037","NaN","16.57","14.33"
"V115.1","test1","1074","NaN","12.72","10.01"
"V116.1","test1","1199","NaN","11.71"," 8.86"
"V117.1","test1","1281","NaN","14.79","13.11"
"V118.1","test1","1293","NaN","13.10","10.54"
"V119.1","test1","1306","NaN","13.85","11.69"
"V120.1","test1","1462","NaN","12.23"," 9.41"
"V121.1","test1","1467","NaN","14.97","12.40"
"V122.1","test1","1390","NaN","15.04","13.76"
"V123.1","test1","1356","NaN","17.22","15.29"
"V124.1","test1","1378","NaN","14.31","12.27"
"V125.1","test1","1497","NaN","14.84","11.81"
"V126.1","test1","1524","NaN","21.13","20.27"
"V127.1","test1","1463","NaN","14.14","11.63"
"V128.1","test1","gblock+IRE_plus18IRE","0.005","12.07"," 9.13"
"V129.1","test1","gblock+IRE_plus18IRE","0.005","13.09","10.85"
"V130.1","test1","gblock+IRE_plus18IRE","0.005","16.54","14.47"
"V131.1","test1","511","NaN","16.19","12.98"
"V132.1","test1","535","NaN","12.74"," 9.42"
"V133.1","test1","559","NaN","15.01","11.77"
"V134.1","test1","583","NaN","17.14","13.30"
"V135.1","test1","607","NaN","15.37","12.53"
"V136.1","test1","631","NaN","16.76","13.84"
"V137.1","test1","654","NaN","15.25","12.10"
"V138.1","test1","679","NaN","16.35","13.82"
"V139.1","test1","703","NaN","15.28","12.06"
"V140.1","test1","1812","NaN","15.15","12.63"
"V141.1","test1","1845","NaN","15.06","12.81"
"V142.1","test1","gblock+IRE_plus18IRE","0.500","10.85"," 8.10"
"V143.1","test1","gblock+IRE_plus18IRE","0.500","11.12"," 8.54"
"V144.1","test1","gblock+IRE_plus18IRE","0.500","11.12"," 8.55"
"V145.1","test1","977","NaN","12.01"," 7.83"
"V146.1","test1","1013","NaN","11.77"," 8.79"
"V147.1","test1","1075","NaN","11.58"," 8.29"
"V148.1","test1","1259","NaN","14.27","12.24"
"V149.1","test1","1282","NaN","14.51","12.61"
"V150.1","test1","1223","NaN","18.37","16.24"
"V151.1","test1","1317","NaN","14.62","12.75"
"V152.1","test1","1380","NaN","13.52","11.18"
"V153.1","test1","1452","NaN","15.65","14.21"
"V154.1","test1","1389","NaN","17.08","14.26"
"V155.1","test1","1486","NaN","15.60","14.88"
"V156.1","test1","1523","NaN","15.52","12.85"
"V157.1","test1","1543","NaN","12.84","10.03"
"V158.1","test1","1449","NaN","12.49"," 9.29"
"V159.1","test1","1332","NaN","12.66"," 9.28"
"V160.1","test1","512","NaN","15.68","12.33"
"V161.1","test1","536","NaN","15.29","11.74"
"V162.1","test1","560","NaN","14.56","11.72"
"V163.1","test1","584","NaN","14.61","11.42"
"V164.1","test1","608","NaN","14.88","11.19"
"V165.1","test1","632","NaN","15.84","12.77"
"V166.1","test1","655","NaN","16.2","13.4"
"V167.1","test1","680","NaN","16.25","13.24"
"V168.1","test1","704","NaN","15.21","12.15"
"V169.1","test1","1824","NaN","15.94","13.91"
"V170.1","test1","1025","NaN","13.68","11.19"
"V171.1","test1","1039","NaN","14.76","12.74"
"V172.1","test1","1087","NaN","13.19","10.86"
"V173.1","test1","1260","NaN","13.98","11.84"
"V174.1","test1","1283","NaN","12.68","10.01"
"V175.1","test1","1294","NaN","14.88","13.84"
"V176.1","test1","1221","NaN","14.08","12.27"
"V177.1","test1","1521","NaN","13.39","11.47"
"V178.1","test1","1533","NaN","21.94","20.90"
"V179.1","test1","1392","NaN","1.34","1.17"
"V180.1","test1","1499","NaN","18.90","16.26"
"V181.1","test1","1450","NaN","14.87","13.25"
"V182.1","test1","1461","NaN","12.59","10.96"
"V183.1","test1","1486","NaN","12.88","10.63"
"V184.1","test1","521","NaN","14.28","11.15"
"V185.1","test1","545","NaN","15.61","13.18"
"V186.1","test1","569","NaN","16.88","14.89"
"V187.1","test1","593","NaN","13.60","10.09"
"V188.1","test1","617","NaN","15.75","12.65"
"V189.1","test1","656","NaN","15.00","11.83"
"V190.1","test1","665","NaN","14.02","11.04"
"V191.1","test1","689","NaN","16.01","13.00"
"V192.1","test1","713","NaN","15.49","11.97"
"V193.1","test1","1823","NaN","14.45","11.72"
"V194.1","test1","979","NaN","15.13","12.89"
"V195.1","test1","1200","NaN","14.65","12.24"
"V196.1","test1","1088","NaN","13.46","10.92"
"V197.1","test1","1245","NaN","14.89","12.81"
"V198.1","test1","1247","NaN","13.81","11.39"
"V199.1","test1","1284","NaN","16.59","15.07"
"V200.1","test1","1222","NaN","17.06","15.63"
"V201.1","test1","1487","NaN","14.58","13.23"
"V202.1","test1","1437","NaN","20.17","19.80"
"V203.1","test1","1500","NaN","16.31","15.45"
"V204.1","test1","1391","NaN","20.45","18.56"
"V205.1","test1","1377","NaN","13.96","12.13"
"V206.1","test1","1508","NaN","14.46","10.93"
"V207.1","test1","1438","NaN","17.15","14.76"
"V208.1","test1","522","NaN","17.98","13.91"
"V209.1","test1","546","NaN","18.85","14.16"
"V210.1","test1","570","NaN","19.77","15.72"
"V211.1","test1","594","NaN","20.35","14.36"
"V212.1","test1","618","NaN","18.60","11.67"
"V213.1","test1","641","NaN","20.50","14.48"
"V214.1","test1","666","NaN","19.40","12.13"
"V215.1","test1","690","NaN","21.92","14.35"
"V216.1","test1","714","NaN","20.64","16.62"
"V217.1","test1","1822","NaN","20.77","16.53"
"V218.1","test1","1076","NaN","15.15","13.94"
"V219.1","test1","1062","NaN","13.86","10.95"
"V220.1","test1","1027","NaN","14.36","11.59"
"V221.1","test1","1246","NaN","13.24","10.39"
"V222.1","test1","1248","NaN","14.03","11.48"
"V223.1","test1","1295","NaN","16.53","15.24"
"V224.1","test1","1224","NaN","13.10"," 8.05"
"V225.1","test1","1415","NaN","14.13","10.40"
"V226.1","test1","1341","NaN","17.89","15.61"
"V227.1","test1","1439","NaN","21.01","17.08"
"V228.1","test1","1557","NaN","20.30","17.49"
"V229.1","test1","1379","NaN","17.52","15.14"
"V230.1","test1","1354","NaN","15.77","11.85"
"V231.1","test1","1534","NaN","20.05","18.51"
"V232.1","test1","NTC","NaN","18.40","11.61"
"V233.1","test1","NTC","NaN","19.96","12.67"
"V234.1","test1","NTC","NaN","16.33","13.22"
