"","sampleID","Plot","Year","Genotype","Replicate","Derivation","Barcode","Date","RNAlater","Time","Temp..in.C","test1.exp","allP.exp","ratio.exp","exp.adjust","stress"
"137",1355,208,2016,"PH207xMo023","C","2015_25x26","208_C_1355","6/16/16","Yes","1:00-2:30 PM","32-34 C",11.98,30.21,2.52170283806344,19.0449307936551,11.1650692063449
"138",1356,208,2016,"PH207xMo023","D","2015_25x26","208_D_1356","6/16/16","Yes","1:00-2:30 PM","32-34 C",17.22,13.4,0.778164924506388,7.82693435528811,5.57306564471189
"139",1378,210,2016,"PH207xMo027","B","2015_32x31","210_B_1378","6/16/16","Yes","1:00-2:30 PM","32-34 C",14.31,23.5,1.64220824598183,12.7503238188053,10.7496761811947
"140",1379,210,2016,"PH207xMo027","C","2015_32x31","210_C_1379","6/16/16","Yes","1:00-2:30 PM","32-34 C",17.52,30.63,1.74828767123288,14.2618053135016,16.3681946864984
"141",1380,210,2016,"PH207xMo027","D","2015_32x31","210_D_1380","6/16/16","Yes","1:00-2:30 PM","32-34 C",13.52,21.59,1.59689349112426,12.1239226757427,9.46607732425727
"142",1389,211,2016,"PH207xMo028","A","2015_33x34","211_A_1389","6/16/16","Yes","1:00-2:30 PM","32-34 C",17.08,25.89,1.51580796252927,11.0106896527137,14.8793103472863
"143",1390,211,2016,"PH207xMo028","B","2015_33x34","211_B_1390","6/16/16","Yes","1:00-2:30 PM","32-34 C",15.04,21.56,1.43351063829787,9.98389965122841,11.5761003487716
"144",1391,211,2016,"PH207xMo028","C","2015_33x34","211_C_1391","6/16/16","Yes","1:00-2:30 PM","32-34 C",20.45,27.16,1.3281173594132,9.04534442110196,18.114655578898
"145",1423,214,2016,"PH207xMo034","C","2015_45x46","214_C_1423","6/11/16","No","1:00-3:00 PM","30-34 C",14.37,3.14,0.218510786360473,7.82333535276756,-4.68333535276756
"146",1424,214,2016,"PH207xMo034","D","2015_45x46","214_D_1424","6/11/16","No","1:00-3:00 PM","30-34 C",12.68,29.41,2.31940063091483,19.0208753030758,10.3891246969242
"147",1426,214,2016,"PH207xMo034","B","2015_45x46","214_B_1426","6/16/16","Yes","1:00-2:30 PM","32-34 C",21.4,10.16,0.474766355140187,7.82339564071366,2.33660435928634
"148",1437,215,2016,"PH207xMo035","A","2015_48x47","215_A_1437","6/16/16","Yes","1:00-2:30 PM","32-34 C",20.17,30.34,1.50421417947447,10.8558239126828,19.4841760873172
