"","sampleID.exp","test1.exp","allP.exp","ratio.exp","exp.adjust","stress"
"1","1013",11.77,23.75,2.017841971113,18.0513768128594,5.69862318714057
"2","1014",15.36,28.14,1.83203125,15.5407945769917,12.5992054230083
"3","1015",16.34,25.31,1.54895960832313,11.4623591628399,13.8476408371601
"4","1016",17.26,25.46,1.47508690614137,10.4787402408903,14.9812597591097
"5","1027",14.36,23.95,1.66782729805014,13.1067707755476,10.8432292244524
"6","1037",16.57,27.84,1.68014484007242,13.2795182634077,14.5604817365923
"7","1038",16.01,24.16,1.50905683947533,10.9202453447227,13.2397546552773
"8","1039",14.76,24.53,1.66192411924119,13.0243422482246,11.5056577517754
"9","1040",17.2,24.47,1.42267441860465,9.86554790449279,14.6044520955072
"10","1049",13.39,25,1.86706497386109,16.0853594224251,8.9146405775749
"11","1050",13.42,29.37,2.18852459016393,18.9042897781555,10.4657102218445
"12","1051",14.86,25.35,1.70592193808883,13.645173186963,11.704826813037
"13","1052",12.96,24.45,1.88657407407407,16.3837431931544,8.06625680684563
"14","1061",19.23,24.81,1.29017160686427,8.81009352984642,15.9999064701536
"15","1062",13.86,15.02,1.08369408369408,8.00337946723332,7.01662053276668
"16","1063",13.18,24.13,1.83080424886191,15.5216742920805,8.60832570791948
"17","1064",14.43,24.43,1.69300069300069,13.4611043454652,10.9688956545348
"18","1073",11.86,28.85,2.43254637436762,19.0409511068468,9.80904889315319
"19","1074",12.72,23.37,1.8372641509434,15.6223585881725,7.74764141182747
"20","1075",11.58,25.34,2.18825561312608,18.9038023093833,6.43619769061675
"21","1076",15.15,16.4,1.08250825082508,8.00099637701923,8.39900362298076
"22","1085",13.64,24.51,1.79692082111437,14.9964875438862,9.5135124561138
"23","1086",12.87,26,2.02020202020202,18.0733503081064,7.92664969189362
"24","1087",13.19,23.08,1.74981046247157,14.2843762644946,8.79562373550539
"25","1088",13.46,23.05,1.71248142644874,13.7392795874388,9.31072041256118
"26","1199",11.71,25.09,2.14261315115286,18.7941526615524,6.29584733844757
"27","1200",14.65,23.66,1.61501706484642,12.3742611355452,11.2857388644548
"28","1221",14.08,12.23,0.868607954545455,7.83531862094818,4.39468137905182
"29","1222",17.06,16.03,0.939624853458382,7.85379622533908,8.17620377466092
"30","1223",18.37,27.75,1.51061513336962,10.9410590518393,16.8089409481607
"31","1224",13.1,16.27,1.24198473282443,8.55895139300044,7.71104860699956
"32","1245",14.89,24.03,1.61383478844862,12.3579296206757,11.6720703793243
"33","1246",13.24,22.09,1.66842900302115,13.1151847875095,8.97481521249047
"34","1247",13.81,23.25,1.68356263577118,13.3276555195795,9.92234448042051
"35","1248",14.03,22.76,1.62223806129722,12.4740268842203,10.2859731157797
"36","1258",14.21,24.57,1.72906403940887,13.979352368974,10.590647631026
"37","1259",14.27,24.38,1.70847932725999,13.6818076626509,10.6981923373491
"38","1260",13.98,24.41,1.74606580829757,14.2289247871269,10.1810752128731
"39","1275",14.71,22.63,1.53840924541128,11.3176072682339,11.3123927317661
"40","1281",14.79,22.8,1.54158215010142,11.3610678935737,11.4389321064263
"41","1282",14.51,22.88,1.57684355616816,11.8469249700668,11.0330750299332
"42","1283",12.68,24.06,1.89747634069401,16.5474597174016,7.51254028259839
"43","1284",16.59,23.35,1.40747438215793,9.70784027382987,13.6421597261701
"44","1293",13.1,24.26,1.85190839694657,15.8504585905617,8.40954140943827
"45","1294",14.88,23.17,1.55712365591398,11.5747494177226,11.5952505822774
"46","1295",16.53,22.24,1.34543254688445,9.16804860445855,13.0719513955414
"47","1296",10.72,23.19,2.16324626865672,18.8509259376179,4.33907406238215
"48","1305",14.12,22.92,1.62322946175637,12.4877275014788,10.4322724985212
"49","1306",13.85,13.23,0.955234657039711,7.86062824459251,5.36937175540749
"50","1307",14.64,24,1.63934426229508,12.7106437987931,11.2893562012069
"51","1308",13.85,23.14,1.67075812274368,13.1477767947958,9.9922232052042
"52","1317",14.62,14.18,0.969904240766074,7.86838005204394,6.31161994795606
"53","1320",21.62,30.67,1.41859389454209,9.82224247467212,20.8477575253279
