"","adj_val","ratio"
"1",5.14666666666667,1.61474730737365
"2",5.14666666666667,1.3414820473644
"3",5.14666666666667,1.21463119709794
"4",3.97333333333333,1.29027576197388
"5",3.97333333333333,1.26629570747218
"6",3.97333333333333,1.31004070556309
"7",3.39,1.22727272727273
"8",3.39,1.33872416891285
"9",3.39,1.27455529775715
"10",2.85333333333333,1.25829596412556
"11",2.85333333333333,1.23681858802502
"12",2.85333333333333,1.2546218487395
"13",1.82,1.21751152073733
"14",1.82,1.16726618705036
"15",1.82,1.11151079136691
"16",1.36,1.16553727008712
"17",1.36,1.1113172541744
"18",1.36,1.11618669314796
"19",0.846666666666667,1.125
"20",0.846666666666667,1.13168187744459
"21",0.846666666666667,1.06930693069307
"22",0.420000000000001,1.16013824884793
"23",0.420000000000001,1.07113402061856
"24",0.420000000000001,0.916326530612245
"25",-1.56333333333333,0.854503464203233
"26",-1.56333333333333,0.771707317073171
"27",-1.56333333333333,0.882162162162162
